Year,Style,Color,Retail Price,Resale - New,Resale - Pre-Owned
2016,Birkin 25,Nata,10482,25055,20296
2017,Birkin 25,Nata,10698,16797,19624
2018,Birkin 25,Nata,10771,19234,17174
2019,Birkin 25,Nata,11313,27653,20139
2020,Birkin 25,Nata,11035,14471,19481
2021,Birkin 25,Nata,11649,28405,20005
2022,Birkin 25,Nata,11378,20527,17950
2023,Birkin 25,Nata,11482,19791,13679
2024,Birkin 25,Nata,11655,20484,15573
2025,Birkin 25,Nata,12738,25922,15658
2015,Birkin 25,Rose Sakura,9214,22570,16939
2016,Birkin 25,Rose Sakura,9482,18420,15168
2017,Birkin 25,Rose Sakura,9586,16489,13243
2018,Birkin 25,Rose Sakura,9741,17049,12902
2019,Birkin 25,Rose Sakura,9933,23761,19139
2020,Birkin 25,Rose Sakura,10145,13728,16168
2021,Birkin 25,Rose Sakura,10837,25566,15102
2022,Birkin 25,Rose Sakura,11202,19463,19136
2023,Birkin 25,Rose Sakura,11234,17377,14436
2024,Birkin 25,Rose Sakura,10807,16660,12495
2025,Birkin 25,Rose Sakura,11647,29056,21555
2015,Birkin 25,Bleu Brume,9970,22103,12598
2016,Birkin 25,Bleu Brume,10193,17424,11762
2017,Birkin 25,Bleu Brume,10518,19535,18630
2018,Birkin 25,Bleu Brume,10761,24152,16051
2019,Birkin 25,Bleu Brume,10683,20971,12644
2020,Birkin 25,Bleu Brume,11302,23906,18349
2021,Birkin 25,Bleu Brume,11073,26728,16351
2022,Birkin 25,Bleu Brume,11448,22313,18750
2023,Birkin 25,Bleu Brume,12349,29172,17178
2024,Birkin 25,Bleu Brume,11826,18135,13723
2025,Birkin 25,Bleu Brume,12362,19713,23540
2015,Birkin 25,Vert Criquet,8062,12002,9909
2016,Birkin 25,Vert Criquet,8349,14011,15675
2017,Birkin 25,Vert Criquet,8432,20000,12245
2018,Birkin 25,Vert Criquet,8539,21334,13355
2019,Birkin 25,Vert Criquet,8715,12908,11870
2020,Birkin 25,Vert Criquet,9254,15110,18253
2021,Birkin 25,Vert Criquet,9010,13135,15195
2022,Birkin 25,Vert Criquet,9554,14435,11156
2023,Birkin 25,Vert Criquet,9673,21486,16808
2024,Birkin 25,Vert Criquet,9492,21357,15331
2025,Birkin 25,Vert Criquet,9563,19876,14948
2015,Birkin 30,Gold,8326,19191,11293
2016,Birkin 30,Gold,8603,18373,16531
2017,Birkin 30,Gold,8669,21254,13960
2018,Birkin 30,Gold,8876,14667,14365
2019,Birkin 30,Gold,9241,21441,16351
2020,Birkin 30,Gold,9117,13569,16322
2021,Birkin 30,Gold,9331,13844,17422
2022,Birkin 30,Gold,9875,16162,10893
2023,Birkin 30,Gold,9765,18831,13788
2024,Birkin 30,Gold,9909,20476,10941
2025,Birkin 30,Gold,11024,24083,14683
2015,Birkin 30,Noir,9599,21241,17619
2016,Birkin 30,Noir,9766,20902,15030
2017,Birkin 30,Noir,10141,17516,18772
2018,Birkin 30,Noir,10073,16358,13052
2019,Birkin 30,Noir,10700,20488,18226
2020,Birkin 30,Noir,10618,18241,19236
2021,Birkin 30,Noir,10599,17887,16628
2022,Birkin 30,Noir,11622,21367,17484
2023,Birkin 30,Noir,11833,29335,22573
2024,Birkin 30,Noir,11444,25768,17590
2025,Birkin 30,Noir,11990,20440,20369
2015,Birkin 30,Etoupe,10996,17568,15136
2016,Birkin 30,Etoupe,11160,16488,13182
2017,Birkin 30,Etoupe,11483,19834,13970
2018,Birkin 30,Etoupe,11809,26696,18534
2019,Birkin 30,Etoupe,11744,17191,21620
2020,Birkin 30,Etoupe,11771,19239,20585
2021,Birkin 30,Etoupe,12570,17226,19572
2022,Birkin 30,Etoupe,12353,20412,17934
2023,Birkin 30,Etoupe,12203,18563,24348
2024,Birkin 30,Etoupe,12988,19208,21273
2025,Birkin 30,Etoupe,12924,23737,22118
2015,Birkin 30,Etain,10557,15986,18625
2016,Birkin 30,Etain,10724,21224,13956
2017,Birkin 30,Etain,10946,20286,14644
2018,Birkin 30,Etain,11221,21139,19550
2019,Birkin 30,Etain,11743,22746,18243
2020,Birkin 30,Etain,11406,26116,15590
2021,Birkin 30,Etain,12078,26288,21273
2022,Birkin 30,Etain,12315,24830,17909
2023,Birkin 30,Etain,12253,28318,23945
2024,Birkin 30,Etain,12434,21703,21059
2025,Birkin 30,Etain,12832,20532,24583
2015,Birkin 30,Craie,8950,13880,10854
2016,Birkin 30,Craie,9141,12398,17415
2017,Birkin 30,Craie,9322,13223,17772
2018,Birkin 30,Craie,9803,20083,11123
2019,Birkin 30,Craie,9705,15373,11590
2020,Birkin 30,Craie,9900,15923,14928
2021,Birkin 30,Craie,9933,23759,19463
2022,Birkin 30,Craie,10065,19357,17088
2023,Birkin 30,Craie,11063,22683,16996
2024,Birkin 30,Craie,11065,26277,17425
2025,Birkin 30,Craie,11696,16102,18676
2015,Birkin 30,Nata,8572,13977,13932
2016,Birkin 30,Nata,8764,20806,16315
2017,Birkin 30,Nata,9067,17085,11076
2018,Birkin 30,Nata,9036,14685,14670
2019,Birkin 30,Nata,9278,17502,14609
2020,Birkin 30,Nata,9791,14701,15993
2021,Birkin 30,Nata,9550,13222,13080
2022,Birkin 30,Nata,9660,19303,15668
2023,Birkin 30,Nata,10508,17370,16773
2024,Birkin 30,Nata,10347,25339,12375
2025,Birkin 30,Nata,10321,18317,12333
2015,Birkin 30,Rose Sakura,7106,12802,10915
2016,Birkin 30,Rose Sakura,7276,12640,14265
2017,Birkin 30,Rose Sakura,7581,16182,14976
2018,Birkin 30,Rose Sakura,7913,15104,9955
2019,Birkin 30,Rose Sakura,7903,19455,15215
2020,Birkin 30,Rose Sakura,8150,19869,12105
2021,Birkin 30,Rose Sakura,8610,11835,10878
2022,Birkin 30,Rose Sakura,8489,11917,12296
2023,Birkin 30,Rose Sakura,9236,21114,12270
2024,Birkin 30,Rose Sakura,9710,18440,16553
2025,Birkin 30,Rose Sakura,8972,14669,16740
2015,Birkin 30,Bleu Brume,10612,24103,12062
2016,Birkin 30,Bleu Brume,10804,25536,14566
2017,Birkin 30,Bleu Brume,10968,25520,21597
2018,Birkin 30,Bleu Brume,11460,25590,19803
2019,Birkin 30,Bleu Brume,11341,24964,20791
2020,Birkin 30,Bleu Brume,11393,21496,18257
2021,Birkin 30,Bleu Brume,12330,23495,19083
2022,Birkin 30,Bleu Brume,12198,27051,21125
2023,Birkin 30,Bleu Brume,12210,23885,21761
2024,Birkin 30,Bleu Brume,12789,27645,17211
2025,Birkin 30,Bleu Brume,13287,31539,25141
2015,Birkin 30,Vert Criquet,7073,12719,10135
2016,Birkin 30,Vert Criquet,7256,13840,11454
2017,Birkin 30,Vert Criquet,7526,10324,15042
2018,Birkin 30,Vert Criquet,7722,13709,9790
2019,Birkin 30,Vert Criquet,7878,10247,9741
2020,Birkin 30,Vert Criquet,7842,18565,8874
2021,Birkin 30,Vert Criquet,8039,17193,12983
2022,Birkin 30,Vert Criquet,8605,16946,13734
2023,Birkin 30,Vert Criquet,9418,21695,11750
2024,Birkin 30,Vert Criquet,9666,23268,19206
2025,Birkin 30,Vert Criquet,9623,18774,14711
2015,Birkin 35,Gold,9091,18308,10753
2016,Birkin 35,Gold,9242,22896,15936
2017,Birkin 35,Gold,9519,18747,11193
2018,Birkin 35,Gold,9971,22159,12581
2019,Birkin 35,Gold,10030,17942,11241
2020,Birkin 35,Gold,10273,22762,15217
2021,Birkin 35,Gold,10138,18373,17850
2022,Birkin 35,Gold,10456,21396,20139
2023,Birkin 35,Gold,11336,18051,18536
2024,Birkin 35,Gold,11000,24310,17063
2025,Birkin 35,Gold,10959,24824,16537
2015,Birkin 35,Noir,11788,27095,18998
2016,Birkin 35,Noir,11956,23865,14004
2017,Birkin 35,Noir,12279,24294,19104
2018,Birkin 35,Noir,12321,23316,17924
2019,Birkin 35,Noir,12663,30007,23547
2020,Birkin 35,Noir,12924,29319,17249
2021,Birkin 35,Noir,13024,26775,19790
2022,Birkin 35,Noir,13064,19819,15910
2023,Birkin 35,Noir,13900,18470,27790
2024,Birkin 35,Noir,13949,24907,27028
2025,Birkin 35,Noir,13358,28681,16656
2015,Birkin 35,Etoupe,11722,20673,21489
2016,Birkin 35,Etoupe,11969,26951,17109
2017,Birkin 35,Etoupe,12069,28465,14164
2018,Birkin 35,Etoupe,12200,29199,19808
2019,Birkin 35,Etoupe,12442,28561,17148
2020,Birkin 35,Etoupe,12944,30669,17055
2021,Birkin 35,Etoupe,13034,24990,23654
2022,Birkin 35,Etoupe,12882,27182,18494
2023,Birkin 35,Etoupe,13263,28936,23438
2024,Birkin 35,Etoupe,13990,26550,16755
2025,Birkin 35,Etoupe,13353,23607,26194
2015,Birkin 35,Etain,11360,27987,22345
2016,Birkin 35,Etain,11607,16622,15084
2017,Birkin 35,Etain,11959,28164,22110
2018,Birkin 35,Etain,11821,20233,14750
2019,Birkin 35,Etain,12168,18062,22687
2020,Birkin 35,Etain,12587,29457,22058
2021,Birkin 35,Etain,12525,31300,21307
2022,Birkin 35,Etain,12441,19143,24276
2023,Birkin 35,Etain,12710,25262,17115
2024,Birkin 35,Etain,13844,32864,15451
2025,Birkin 35,Etain,13257,30884,24268
2015,Birkin 35,Craie,10247,14061,11306
2016,Birkin 35,Craie,10450,19097,20531
2017,Birkin 35,Craie,10620,23196,18672
2018,Birkin 35,Craie,10952,21538,17132
2019,Birkin 35,Craie,10976,22462,14754
2020,Birkin 35,Craie,11426,15052,20408
2021,Birkin 35,Craie,11640,18421,22062
2022,Birkin 35,Craie,12279,17541,20458
2023,Birkin 35,Craie,12383,23083,23342
2024,Birkin 35,Craie,11618,21651,15450
2025,Birkin 35,Craie,12937,31622,18859
2015,Birkin 35,Nata,10768,15633,12359
2016,Birkin 35,Nata,10928,25673,17459
2017,Birkin 35,Nata,11093,18524,14866
2018,Birkin 35,Nata,11499,16118,19624
2019,Birkin 35,Nata,11520,23196,20992
2020,Birkin 35,Nata,12095,30024,14223
2021,Birkin 35,Nata,12056,17037,19661
2022,Birkin 35,Nata,12467,22745,18523
2023,Birkin 35,Nata,11972,28055,13454
2024,Birkin 35,Nata,12238,25346,15273
2025,Birkin 35,Nata,13141,31433,17109
2015,Birkin 35,Rose Sakura,9351,17555,15394
2016,Birkin 35,Rose Sakura,9532,13011,13392
2017,Birkin 35,Rose Sakura,9931,23921,11693
2018,Birkin 35,Rose Sakura,10039,24741,16685
2019,Birkin 35,Rose Sakura,10052,22356,12636
2020,Birkin 35,Rose Sakura,10802,18878,16487
2021,Birkin 35,Rose Sakura,10518,19028,11769
2022,Birkin 35,Rose Sakura,11254,22514,13615
2023,Birkin 35,Rose Sakura,10726,23671,12230
2024,Birkin 35,Rose Sakura,11749,16723,18950
2025,Birkin 35,Rose Sakura,11617,18276,18210
2015,Birkin 35,Bleu Brume,7558,16232,10856
2016,Birkin 35,Bleu Brume,7710,17020,13565
2017,Birkin 35,Bleu Brume,8072,12671,14280
2018,Birkin 35,Bleu Brume,8214,11802,13250
2019,Birkin 35,Bleu Brume,8388,20643,9393
2020,Birkin 35,Bleu Brume,8977,16570,10250
2021,Birkin 35,Bleu Brume,8459,19060,13059
2022,Birkin 35,Bleu Brume,9184,14554,13381
2023,Birkin 35,Bleu Brume,9103,15207,14624
2024,Birkin 35,Bleu Brume,9989,14484,12152
2025,Birkin 35,Bleu Brume,9911,24565,17003
2015,Birkin 35,Vert Criquet,7712,12033,12364
2016,Birkin 35,Vert Criquet,7866,12449,9549
2017,Birkin 35,Vert Criquet,8126,15557,14205
2018,Birkin 35,Vert Criquet,8391,13910,15207
2019,Birkin 35,Vert Criquet,8740,14244,11945
2020,Birkin 35,Vert Criquet,8692,16152,13690
2021,Birkin 35,Vert Criquet,9212,21081,14994
2022,Birkin 35,Vert Criquet,9275,19239,11077
2023,Birkin 35,Vert Criquet,9367,19798,12044
2024,Birkin 35,Vert Criquet,9616,23111,13958
2025,Birkin 35,Vert Criquet,9826,22608,13321
2015,Kelly 20,Gold,7365,13649,11877
2016,Kelly 20,Gold,7642,10668,12524
2017,Kelly 20,Gold,7710,14003,9181
2018,Kelly 20,Gold,8003,14361,11514
2019,Kelly 20,Gold,8038,17849,15947
2020,Kelly 20,Gold,8568,13831,10397
2021,Kelly 20,Gold,8306,11306,13778
2022,Kelly 20,Gold,8416,17866,16408
2023,Kelly 20,Gold,9422,12251,12469
2024,Kelly 20,Gold,9326,13704,14896
2025,Kelly 20,Gold,8882,14647,16437
2015,Kelly 20,Noir,8454,14194,10028
2016,Kelly 20,Noir,8685,21476,12672
2017,Kelly 20,Noir,8822,14882,17197
2018,Kelly 20,Noir,9348,21758,18488
2019,Kelly 20,Noir,9600,18540,12719
2020,Kelly 20,Noir,9555,17990,13655
2021,Kelly 20,Noir,9778,15423,19039
2022,Kelly 20,Noir,10326,14303,16651
2023,Kelly 20,Noir,10610,20558,20765
2024,Kelly 20,Noir,10106,22042,15385
2025,Kelly 20,Noir,10195,18291,13215
2015,Kelly 20,Etoupe,7350,15638,10249
2016,Kelly 20,Etoupe,7513,11277,8774
2017,Kelly 20,Etoupe,7678,15189,10157
2018,Kelly 20,Etoupe,8170,16804,14461
2019,Kelly 20,Etoupe,8456,16701,10883
2020,Kelly 20,Etoupe,8836,15498,10759
2021,Kelly 20,Etoupe,8854,11982,17431
2022,Kelly 20,Etoupe,9438,16370,15896
2023,Kelly 20,Etoupe,9414,17477,14005
2024,Kelly 20,Etoupe,8959,14219,17220
2025,Kelly 20,Etoupe,8993,17511,11012
2015,Kelly 20,Etain,9759,22859,19075
2016,Kelly 20,Etain,9932,15271,14938
2017,Kelly 20,Etain,10140,23231,13005
2018,Kelly 20,Etain,10635,17838,16275
2019,Kelly 20,Etain,10800,15925,17313
2020,Kelly 20,Etain,11144,16701,16899
2021,Kelly 20,Etain,11019,24357,17655
2022,Kelly 20,Etain,11723,24787,19706
2023,Kelly 20,Etain,10964,19190,17157
2024,Kelly 20,Etain,11668,25578,21890
2025,Kelly 20,Etain,11801,16851,16156
2015,Kelly 20,Craie,9920,15520,11470
2016,Kelly 20,Craie,10197,18835,16341
2017,Kelly 20,Craie,10288,16404,17854
2018,Kelly 20,Craie,10438,25410,18373
2019,Kelly 20,Craie,10708,26400,15202
2020,Kelly 20,Craie,11054,16073,18057
2021,Kelly 20,Craie,11344,21272,19356
2022,Kelly 20,Craie,11254,22316,15386
2023,Kelly 20,Craie,11678,25056,14515
2024,Kelly 20,Craie,11862,20191,20107
2025,Kelly 20,Craie,11667,23413,18336
2015,Kelly 20,Nata,11745,23217,20942
2016,Kelly 20,Nata,12012,29850,23459
2017,Kelly 20,Nata,12085,18425,23725
2018,Kelly 20,Nata,12403,20420,16622
2019,Kelly 20,Nata,12787,27941,17997
2020,Kelly 20,Nata,12838,20387,21123
2021,Kelly 20,Nata,13078,29655,20841
2022,Kelly 20,Nata,13793,30366,16818
2023,Kelly 20,Nata,13304,24294,18688
2024,Kelly 20,Nata,13815,28735,23380
2025,Kelly 20,Nata,13539,18851,18922
2015,Kelly 20,Rose Sakura,7631,14258,13484
2016,Kelly 20,Rose Sakura,7809,16665,15138
2017,Kelly 20,Rose Sakura,8079,16654,13523
2018,Kelly 20,Rose Sakura,8494,11338,12278
2019,Kelly 20,Rose Sakura,8313,11057,13831
2020,Kelly 20,Rose Sakura,8809,18370,10877
2021,Kelly 20,Rose Sakura,9000,17415,15564
2022,Kelly 20,Rose Sakura,9118,20712,10484
2023,Kelly 20,Rose Sakura,9223,16174,15804
2024,Kelly 20,Rose Sakura,9440,16350,14469
2025,Kelly 20,Rose Sakura,9795,16027,16965
2015,Kelly 20,Bleu Brume,7351,11040,13621
2016,Kelly 20,Bleu Brume,7582,18812,14728
2017,Kelly 20,Bleu Brume,7662,12850,10925
2018,Kelly 20,Bleu Brume,8172,16750,15025
2019,Kelly 20,Bleu Brume,8242,17770,10499
2020,Kelly 20,Bleu Brume,8109,13837,9956
2021,Kelly 20,Bleu Brume,8367,11120,14672
2022,Kelly 20,Bleu Brume,8458,20926,16430
2023,Kelly 20,Bleu Brume,9285,20601,17179
2024,Kelly 20,Bleu Brume,9963,13201,14676
2025,Kelly 20,Bleu Brume,10270,21584,13216
2015,Kelly 20,Vert Criquet,9546,20908,12707
2016,Kelly 20,Vert Criquet,9699,16767,11788
2017,Kelly 20,Vert Criquet,10083,16562,12580
2018,Kelly 20,Vert Criquet,10216,23531,18886
2019,Kelly 20,Vert Criquet,10397,21442,19660
2020,Kelly 20,Vert Criquet,10731,16275,13191
2021,Kelly 20,Vert Criquet,10691,25141,16697
2022,Kelly 20,Vert Criquet,11626,24985,16493
2023,Kelly 20,Vert Criquet,10816,18889,19954
2024,Kelly 20,Vert Criquet,11202,26381,19436
2025,Kelly 20,Vert Criquet,12341,20296,19319
2015,Kelly 25,Gold,7570,18700,14214
2016,Kelly 25,Gold,7829,15758,15311
2017,Kelly 25,Gold,8003,12179,15382
2018,Kelly 25,Gold,8132,13308,12159
2019,Kelly 25,Gold,8241,16948,10241
2020,Kelly 25,Gold,8738,19659,9837
2021,Kelly 25,Gold,9339,17966,13821
2022,Kelly 25,Gold,9171,14648,10708
2023,Kelly 25,Gold,9321,14163,16970
2024,Kelly 25,Gold,9492,21024,17846
2025,Kelly 25,Gold,9296,15707,10385
2015,Kelly 25,Noir,9447,19863,16765
2016,Kelly 25,Noir,9608,22870,11520
2017,Kelly 25,Noir,9819,13435,13556
2018,Kelly 25,Noir,10114,24650,17491
2019,Kelly 25,Noir,10115,15550,12572
2020,Kelly 25,Noir,10481,20831,15438
2021,Kelly 25,Noir,10908,20453,18889
2022,Kelly 25,Noir,10999,16269,14967
2023,Kelly 25,Noir,10653,22770,16861
2024,Kelly 25,Noir,10989,15954,13170
2025,Kelly 25,Noir,11218,19649,12861
2015,Kelly 25,Etoupe,10277,18846,14244
2016,Kelly 25,Etoupe,10460,18000,17097
2017,Kelly 25,Etoupe,10738,21352,19047
2018,Kelly 25,Etoupe,10972,14273,20043
2019,Kelly 25,Etoupe,11042,26373,13123
2020,Kelly 25,Etoupe,11220,21189,19856
2021,Kelly 25,Etoupe,11196,17284,13325
2022,Kelly 25,Etoupe,11927,29013,21559
2023,Kelly 25,Etoupe,12015,26071,22491
2024,Kelly 25,Etoupe,12833,18174,21309
2025,Kelly 25,Etoupe,12252,29632,14434
2015,Kelly 25,Etain,11077,16794,19462
2016,Kelly 25,Etain,11227,26349,19654
2017,Kelly 25,Etain,11543,19110,14284
2018,Kelly 25,Etain,11618,24531,16238
2019,Kelly 25,Etain,11857,26364,18407
2020,Kelly 25,Etain,12368,17094,18685
2021,Kelly 25,Etain,12326,23535,20788
2022,Kelly 25,Etain,12281,19782,19035
2023,Kelly 25,Etain,12668,16851,16724
2024,Kelly 25,Etain,12748,31108,20034
2025,Kelly 25,Etain,13031,31952,18427
2015,Kelly 25,Craie,11073,26365,16744
2016,Kelly 25,Craie,11280,20743,13992
2017,Kelly 25,Craie,11469,19648,19265
2018,Kelly 25,Craie,11790,27577,13251
2019,Kelly 25,Craie,11823,28487,20047
2020,Kelly 25,Craie,11991,20631,14847
2021,Kelly 25,Craie,12708,30724,21119
2022,Kelly 25,Craie,12203,23497,22308
2023,Kelly 25,Craie,13241,17272,24214
2024,Kelly 25,Craie,12935,28570,20204
2025,Kelly 25,Craie,13069,19755,18432
2015,Kelly 25,Nata,8078,15248,8982
2016,Kelly 25,Nata,8291,13027,15318
2017,Kelly 25,Nata,8414,11229,11374
2018,Kelly 25,Nata,8894,16286,13411
2019,Kelly 25,Nata,8786,14040,16973
2020,Kelly 25,Nata,9196,14238,17405
2021,Kelly 25,Nata,9244,14852,18285
2022,Kelly 25,Nata,9594,16855,17026
2023,Kelly 25,Nata,9742,21999,15123
2024,Kelly 25,Nata,10125,21847,18659
2025,Kelly 25,Nata,9891,18189,15380
2015,Kelly 25,Rose Sakura,11505,15716,17446
2016,Kelly 25,Rose Sakura,11739,21225,14731
2017,Kelly 25,Rose Sakura,12008,27193,19906
2018,Kelly 25,Rose Sakura,12105,25450,22193
2019,Kelly 25,Rose Sakura,12486,27371,18939
2020,Kelly 25,Rose Sakura,12794,19212,20567
2021,Kelly 25,Rose Sakura,13124,18380,25818
2022,Kelly 25,Rose Sakura,13295,29616,22104
2023,Kelly 25,Rose Sakura,13258,18708,25854
2024,Kelly 25,Rose Sakura,13396,21369,21397
2025,Kelly 25,Rose Sakura,13276,21761,22692
2015,Kelly 25,Bleu Brume,9168,12421,10090
2016,Kelly 25,Bleu Brume,9400,19329,12644
2017,Kelly 25,Bleu Brume,9567,22019,12697
2018,Kelly 25,Bleu Brume,10035,25021,19176
2019,Kelly 25,Bleu Brume,10068,20648,11808
2020,Kelly 25,Bleu Brume,10053,19820,19118
2021,Kelly 25,Bleu Brume,10171,21271,11539
2022,Kelly 25,Bleu Brume,10473,19074,16352
2023,Kelly 25,Bleu Brume,10661,22757,20755
2024,Kelly 25,Bleu Brume,11325,17980,14429
2025,Kelly 25,Bleu Brume,11948,27807,17689
2015,Kelly 25,Vert Criquet,10776,22063,19897
2016,Kelly 25,Vert Criquet,11045,20541,17014
2017,Kelly 25,Vert Criquet,11152,23528,16697
2018,Kelly 25,Vert Criquet,11361,28040,22082
2019,Kelly 25,Vert Criquet,11708,17916,15240
2020,Kelly 25,Vert Criquet,11975,16185,18058
2021,Kelly 25,Vert Criquet,12262,17430,18000
2022,Kelly 25,Vert Criquet,12064,23087,23298
2023,Kelly 25,Vert Criquet,12952,23139,17152
2024,Kelly 25,Vert Criquet,12260,16801,17170
2025,Kelly 25,Vert Criquet,13603,31745,24154
2015,Kelly 28,Gold,11485,23510,14655
2016,Kelly 28,Gold,11681,19851,13752
2017,Kelly 28,Gold,11883,23433,21780
2018,Kelly 28,Gold,12118,19130,19878
2019,Kelly 28,Gold,12540,17636,20156
2020,Kelly 28,Gold,12821,21223,14149
2021,Kelly 28,Gold,13268,30992,21065
2022,Kelly 28,Gold,12965,20223,23573
2023,Kelly 28,Gold,13420,33377,24208
2024,Kelly 28,Gold,13078,32623,17452
2025,Kelly 28,Gold,13527,25776,17019
2015,Kelly 28,Noir,9661,19291,11110
2016,Kelly 28,Noir,9913,20382,12102
2017,Kelly 28,Noir,9969,18479,17845
2018,Kelly 28,Noir,10480,22607,16323
2019,Kelly 28,Noir,10741,19202,19158
2020,Kelly 28,Noir,11038,19834,18990
2021,Kelly 28,Noir,10995,20404,19480
2022,Kelly 28,Noir,11737,26134,19872
2023,Kelly 28,Noir,11009,25945,13614
2024,Kelly 28,Noir,11906,16263,21921
2025,Kelly 28,Noir,11448,20016,18609
2015,Kelly 28,Etoupe,7995,19496,12853
2016,Kelly 28,Etoupe,8228,12816,13586
2017,Kelly 28,Etoupe,8474,20978,13669
2018,Kelly 28,Etoupe,8667,21028,11112
2019,Kelly 28,Etoupe,8930,19675,13473
2020,Kelly 28,Etoupe,9298,13465,15512
2021,Kelly 28,Etoupe,9093,13483,15488
2022,Kelly 28,Etoupe,9626,22399,11126
2023,Kelly 28,Etoupe,10061,16212,19914
2024,Kelly 28,Etoupe,10321,15105,19788
2025,Kelly 28,Etoupe,9577,15560,14085
2015,Kelly 28,Etain,9035,20700,10213
2016,Kelly 28,Etain,9214,15215,17551
2017,Kelly 28,Etain,9409,21424,12753
2018,Kelly 28,Etain,9870,12966,17771
2019,Kelly 28,Etain,10153,17748,14870
2020,Kelly 28,Etain,9873,18204,11634
2021,Kelly 28,Etain,10454,21642,13934
2022,Kelly 28,Etain,11003,16520,13731
2023,Kelly 28,Etain,11142,23123,20450
2024,Kelly 28,Etain,10638,19295,14567
2025,Kelly 28,Etain,10905,16285,14275
2015,Kelly 28,Craie,11183,15383,12365
2016,Kelly 28,Craie,11337,21649,15961
2017,Kelly 28,Craie,11612,20330,15066
2018,Kelly 28,Craie,11914,18991,18083
2019,Kelly 28,Craie,12351,26947,19638
2020,Kelly 28,Craie,12585,17645,22041
2021,Kelly 28,Craie,12452,28681,21177
2022,Kelly 28,Craie,12363,25402,16626
2023,Kelly 28,Craie,13548,21483,21575
2024,Kelly 28,Craie,13571,23903,26398
2025,Kelly 28,Craie,13299,21144,16013
2015,Kelly 28,Nata,11744,24490,13233
2016,Kelly 28,Nata,12027,17984,21925
2017,Kelly 28,Nata,12231,16831,21503
2018,Kelly 28,Nata,12217,21057,21552
2019,Kelly 28,Nata,12736,26374,23855
2020,Kelly 28,Nata,12545,27812,22372
2021,Kelly 28,Nata,12955,31316,21028
2022,Kelly 28,Nata,12838,18183,20091
2023,Kelly 28,Nata,13014,21687,14418
2024,Kelly 28,Nata,13405,32321,18904
2025,Kelly 28,Nata,13418,19368,17657
2015,Kelly 28,Rose Sakura,11477,22933,19314
2016,Kelly 28,Rose Sakura,11720,20027,19913
2017,Kelly 28,Rose Sakura,11819,27143,20556
2018,Kelly 28,Rose Sakura,12127,27991,20873
2019,Kelly 28,Rose Sakura,12369,18416,21323
2020,Kelly 28,Rose Sakura,12299,19359,21281
2021,Kelly 28,Rose Sakura,12981,19055,20190
2022,Kelly 28,Rose Sakura,13064,29415,16754
